P.x,C.x,O.x,B - L.x,B - T.x,B - L.y,B - T.y,L - T.x,L - T.y,Mean,SD
Desulfobacterota,Desulfuromonadia,Geobacterales,TRUE,TRUE,6.4460517527760235,4.819835569205851,FALSE,-1.6551261296947004,0.02026312681918507,0.04127786434659532
Firmicutes,Clostridia,Lachnospirales,FALSE,FALSE,-0.38040213741491646,0.8301744804561261,FALSE,2.584318120054113,0.019554351365090913,0.05504728220203762
Actinobacteriota,Acidimicrobiia,Microtrichales,FALSE,FALSE,-3.134686689143111,1.26599452196953,TRUE,7.125584590437624,0.01755789972503812,0.05442090399677121
Armatimonadota,Fimbriimonadia,Fimbriimonadales,TRUE,TRUE,-5.789085115893009,-7.131055176429532,FALSE,-1.956610612534153,0.015374788397791956,0.034849782036838604
Proteobacteria,Gammaproteobacteria,Diplorickettsiales,FALSE,FALSE,2.389822410274124,0.37262144273730985,TRUE,-3.386369577955708,0.013528328037864025,0.022491954063088886
Actinobacteriota,Actinobacteria,Catenulisporales,FALSE,FALSE,1.6017683452596243,1.1151746493048051,FALSE,-0.39125891549998854,0.010373241580516826,0.014356011459033938
Proteobacteria,Gammaproteobacteria,Steroidobacterales,FALSE,TRUE,1.8564158650246687,4.790662227225038,TRUE,5.727827063431039,0.010151509856721131,0.031205004453145696
Proteobacteria,Alphaproteobacteria,NA,FALSE,FALSE,1.50165844932808,-0.371307361004343,TRUE,-3.7896464678566693,0.009170950555157037,0.015073680629118338
Armatimonadota,Armatimonadia,Armatimonadales,TRUE,TRUE,6.376418935325215,8.085989951210323,TRUE,3.179764076806155,0.009169048874585252,0.011806530274989699
Firmicutes,Negativicutes,Veillonellales-Selenomonadales,FALSE,FALSE,-1.350316677936025,0.48169656487065377,TRUE,5.061320039709501,0.008184883313515625,0.051551542493718516
Bdellovibrionota,Oligoflexia,Oligoflexales,TRUE,TRUE,-4.2365917392715975,-4.190619937861832,FALSE,0.11040730288273841,0.007871937321550207,0.0167436412442032
Proteobacteria,Gammaproteobacteria,Cellvibrionales,FALSE,FALSE,0.3158331075988062,1.5642026264862332,FALSE,2.963872366816844,0.0073786395075519234,0.02659183250943283
Actinobacteriota,Acidimicrobiia,IMCC26256,TRUE,TRUE,-6.671758245422566,-5.5775281335279585,TRUE,2.0584373599226913,0.006727568752201187,0.020404378734804947
Actinobacteriota,Thermoleophilia,Solirubrobacterales,FALSE,FALSE,-1.463998660711329,1.992784910602092,TRUE,6.016725985363602,0.006063951095348663,0.009977220493904163
Elusimicrobiota,LineageIIa,LineageIIa,FALSE,TRUE,-1.8906983259429408,-2.213585321701987,TRUE,-0.4796720666444466,0.005441490006021083,0.01457229634940029
Bacteroidota,Bacteroidia,Bacteroidales,FALSE,TRUE,-0.35601903837656257,0.013158429512560197,TRUE,1.3434108697547464,0.00500659536924244,0.025188466926109432
Cyanobacteria,Sericytochromatia,Sericytochromatia,TRUE,FALSE,-3.414627080473752,-2.205101963490702,FALSE,2.4460444416552014,0.0049061016757387995,0.012714529144295975
Proteobacteria,Alphaproteobacteria,Paracaedibacterales,FALSE,FALSE,1.4266848179458003,0.6734538976414367,FALSE,-0.9334335660269456,0.00474524403388839,0.011208056568845113
Firmicutes,Clostridia,Clostridia,FALSE,FALSE,-2.526260456034808,-0.6661966492750986,TRUE,4.203176341317261,0.004527301781218743,0.014505124163653266
Proteobacteria,Gammaproteobacteria,Legionellales,TRUE,TRUE,-7.184775536848215,-4.972741435626536,TRUE,4.003483205538934,0.003797335240188762,0.012998479023456307
Acidobacteriota,Holophagae,Subgroup7,FALSE,TRUE,2.0607150502038687,2.649815870590856,TRUE,1.2761048717943164,0.0035933941014288135,0.011596419440637948
Firmicutes,Desulfitobacteriia,Desulfitobacteriales,FALSE,TRUE,-1.5925182427748257,-0.6245890433983979,TRUE,2.891395952805878,0.003160125905527923,0.012551466725255077
Bdellovibrionota,Bdellovibrionia,Bacteriovoracales,TRUE,TRUE,4.418754665274543,5.322112125007095,FALSE,1.6332926606426765,0.0026622535679106563,0.007465222028192738
Bdellovibrionota,Oligoflexia,Silvanigrellales,FALSE,TRUE,1.4692133427146394,1.8485003555486887,TRUE,1.243415683068393,0.0024521153372337296,0.009000893810410164
Bdellovibrionota,Oligoflexia,NA,FALSE,TRUE,2.1467193113922205,4.427242770369255,TRUE,4.302788778947815,0.002089363990688659,0.005618999479949248
Acidobacteriota,Acidobacteriae,Subgroup13,FALSE,TRUE,-1.5089225132488806,-0.7375682889731313,TRUE,1.808636552446455,0.0020384138497579534,0.005376774340243157
Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,TRUE,TRUE,4.289385912251226,4.733315588475945,TRUE,1.0475985395520773,0.0016532010089072968,0.004745415485499504
Myxococcota,Polyangia,mle1-27,FALSE,FALSE,-2.1918573592275616,-0.15821597427229664,TRUE,4.035634497876857,0.001575763543483459,0.005348548757997305
Acidobacteriota,Subgroup5,Subgroup5,FALSE,TRUE,-0.1205350817754071,1.4093830603248578,TRUE,3.493848482889653,0.0012629765420509552,0.0061785155457946125
Actinobacteriota,Actinobacteria,Kineosporiales,FALSE,FALSE,0.7633179733633039,2.7588220527967495,TRUE,3.663141011788378,0.0010957407899486733,0.0037463972748295
Proteobacteria,Alphaproteobacteria,Holosporales,FALSE,TRUE,-2.2035768033189473,0.1387965062209966,TRUE,4.49978809110854,9.516693036890359e-4,0.00324561566432618
